  0: 01  (2 bits)
215: 0010100111  (10 bits)
216: 1011110110  (10 bits)
217: 0010100110  (10 bits)
218: 1011000111  (10 bits)
219: 0001101010  (10 bits)
220: 1011110111  (10 bits)
221: 1000001100  (10 bits)
222: 1011101111  (10 bits)
223: 0001111100  (10 bits)
224: 100010110  (9 bits)
225: 100010010  (9 bits)
226: 1001100100  (10 bits)
227: 0001111101  (10 bits)
228: 1100010000  (10 bits)
229: 1000111000  (10 bits)
230: 1100101101  (10 bits)
231: 1000100111  (10 bits)
232: 1001001  (7 bits)
233: 1000110001  (10 bits)
234: 1110000010  (10 bits)
235: 1000011001  (10 bits)
236: 1100010001  (10 bits)
237: 00011000  (8 bits)
238: 1010000001  (10 bits)
239: 1000001101  (10 bits)
240: 1110101110  (10 bits)
241: 0000111100  (10 bits)
242: 1010001101  (10 bits)
243: 0000000011  (10 bits)
244: 1000101111  (10 bits)
245: 0001010111  (10 bits)
246: 1011100001  (10 bits)
247: 00000000101  (11 bits)
248: 1010000000  (10 bits)
249: 0001101011  (10 bits)
250: 1001111101  (10 bits)
251: 0001010110  (10 bits)
252: 1001110101  (10 bits)
253: 1011000101  (10 bits)
254: 1111010  (7 bits)
255: 001001  (6 bits)
